Price,Close,High,Low,Open,Volume
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS
Date,,,,,
2015-01-01,279.88055419921875,280.77189354380226,276.9391452427004,278.4989890957215,6138488
2015-01-02,280.9947509765625,283.71332531555316,280.1925509422308,280.1925509422308,9935094
2015-01-05,278.76641845703125,282.376332419751,278.1870532434681,281.88610659324104,9136716
2015-01-06,267.3126220703125,277.2956320443455,266.24303134549643,276.31515347879537,15329257
2015-01-07,267.5355224609375,269.6747316365354,263.07882534447504,267.4018269877477,15046745
2015-01-08,271.7248229980469,273.19552757568704,269.49647448601024,271.8585184684651,8939749
2015-01-09,270.25408935546875,274.39881170180155,269.1844713041171,273.3737769368078,11953948
2015-01-12,273.73028564453125,274.35420679071115,268.38225021234183,271.1008240097655,8536142
2015-01-13,271.9476318359375,276.98369355110873,271.10084860175516,274.6662058799674,9484804
2015-01-14,271.5910949707031,273.64116447541716,269.4073028100809,270.9671465815206,8855660
2015-01-15,285.4960021972656,288.5265779530642,279.8805747937943,285.1394718735011,30729523
2015-01-16,281.1729736328125,285.4959471778241,279.07832098227755,285.2285562869111,21598514
2015-01-19,279.1229553222656,283.40140118704096,278.54359009517214,282.1535041421966,9975658
2015-01-20,283.5796203613281,285.05032490868007,279.88056734783106,279.88056734783106,13104643
2015-01-21,290.7549133300781,292.0027830075833,284.3372589864535,285.1394589790268,22617660
2015-01-22,289.3733215332031,292.0027835598814,286.83299888398363,291.37883511918926,12232626
2015-01-23,291.8690490722656,296.4148574981887,289.3732828446939,292.5821095935631,17127278
2015-01-27,294.1864929199219,296.0583106855726,287.54603218185747,293.60712787856926,13734088
2015-01-28,298.24212646484375,299.4899960079068,292.5375605526154,294.49849063413853,19428852
2015-01-29,291.46795654296875,297.3508014731303,289.7744172816464,296.63771369890384,14911660
2015-01-30,275.3793029785156,294.58765508450784,273.64118036594226,292.983255135608,30252827
2015-02-02,274.0868225097656,278.0087098143177,271.94761372560225,275.8695010301543,17639807
2015-02-03,267.669189453125,278.0978704766047,266.5550152925617,278.0978704766047,23743882
2015-02-04,261.2070007324219,270.03128256860447,260.1819658609873,269.8084477182265,21477507
2015-02-05,259.20147705078125,265.4408526199687,257.7753558247534,261.2961300035979,15722348
2015-02-06,258.7558288574219,262.811439635131,254.65568918978943,259.3797773467682,15985714
2015-02-09,249.1293487548828,260.98415124973144,247.79233972757575,258.0427422702632,17088719
2015-02-10,256.0817565917969,259.2014439783385,245.74224301475687,247.34664279008643,22589681
2015-02-11,254.8785400390625,261.60814236057377,252.87302617088093,259.2015148381468,17366588
2015-02-12,253.4077911376953,257.59709737351307,248.05975451402375,257.507957989481,20957180
2015-02-13,273.59661865234375,274.4879579837389,254.34368365390532,256.7057274417989,70540056
2015-02-16,273.373779296875,279.12290156835115,271.59110066357687,276.8499971915029,21372131
2015-02-18,272.4824523925781,274.44338265762167,269.1844858901379,273.46290392434065,13472484
2015-02-19,269.4964294433594,273.9085424388554,264.54948025254123,272.8389516527573,17762135
2015-02-20,269.45184326171875,273.195478976588,264.77231221888974,269.0953130035205,15792502
2015-02-23,264.3266296386719,271.5019265401911,262.41025579346984,270.2540570969093,12440505
2015-02-24,264.059326171875,266.5105097903481,260.36027269702925,264.6386914050277,15046698
2015-02-25,263.435302734375,267.98113831995425,262.9450770306865,266.51043400737376,12845169
2015-02-26,257.95361328125,264.7277980660038,256.7502996679188,264.7277980660038,18707345
2015-02-27,267.3126220703125,268.29310063586263,258.57750874416905,259.6025433893521,18316053
2015-03-02,269.1844787597656,272.66069672066436,264.4603911720722,272.66069672066436,15085595
2015-03-03,269.71929931640625,272.2150386765557,267.1344205787831,270.5214993106315,14387971
2015-03-04,261.92010498046875,280.7719290629634,260.27112154408036,279.8805896056207,38674148
2015-03-05,261.8754577636719,264.0592497817131,258.2655447232114,262.72224092205886,16803823
2015-03-09,259.0677490234375,262.0537409679674,257.3296537971102,260.27106245798126,13199803
2015-03-10,256.3491516113281,261.3852124987943,254.12080367868708,259.1568645661533,14064427
2015-03-11,254.1654052734375,259.2906064363483,252.91753564798884,257.1959535642464,16329314
2015-03-12,255.68064880371094,257.99813610821036,255.012144419808,256.83937885520413,9969794
2015-03-13,250.24351501464844,259.42429916396446,249.5750105221783,258.48840375511327,13414248
2015-03-16,251.04574584960938,253.00670348270413,249.5750412255487,250.91205037497127,15132928
