Price,Close,High,Low,Open,Volume
Ticker,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS
Date,,,,,
2015-01-01,486.9628601074219,487.88249170010425,483.0907768399607,486.57565768900594,1351985
2015-01-02,497.8531188964844,500.3700085946768,485.65607963463685,487.1081109316808,3852825
2015-01-05,500.9991455078125,503.7580401953052,498.6274827676766,500.3699674474825,2561430
2015-01-06,483.09075927734375,497.1270606116049,480.86432329615536,497.1270606116049,5284530
2015-01-07,482.7035827636719,489.189334165417,478.6863022125841,482.8487799803808,4245189
2015-01-08,485.8980712890625,490.78656470267504,478.83150144902316,489.8185438649972,5637844
2015-01-09,479.1219177246094,489.7217280018251,471.42614037210046,488.75370717970577,5078463
2015-01-12,485.5108337402344,487.6888805999752,476.4114438789807,479.17030914298266,2290147
2015-01-13,488.36651611328125,495.3362780112415,484.3008167491958,487.8825056909688,4069260
2015-01-14,483.6231994628906,489.57652149763607,478.39589303095926,488.36649549294594,2973231
2015-01-15,497.611083984375,507.1945136062768,494.75544032892947,506.71050320281313,6670800
2015-01-16,498.3371276855469,504.8228792742839,496.20746997357736,500.07955341959297,6920742
2015-01-19,512.0346069335938,514.7934425423255,500.3215199647275,502.838409460088,6113156
2015-01-20,533.7667236328125,536.9611806409582,514.115852989329,515.5194950471927,6934581
2015-01-21,529.7494506835938,538.9940386915613,528.1038032960557,535.3155709968522,4459351
2015-01-22,546.6897583007812,549.0130319029765,530.2817935789446,532.1210567709578,5546866
2015-01-23,547.0769653320312,558.9352198411159,542.3820291172303,552.7398632397847,4975114
2015-01-27,573.1651000976562,578.6828305518213,548.867801309684,552.6431061160342,5376830
2015-01-28,571.7130737304688,580.6188771078248,564.7917603044746,571.1322848707007,6370073
2015-01-29,580.3284912109375,582.7485433010581,563.4849050303765,570.1158832072889,5424486
2015-01-30,569.29296875,584.7329112391877,565.0337129799701,583.4744961044811,4497194
2015-02-02,597.5592041015625,601.1408927348388,565.7113565064914,567.2601660911683,6307718
2015-02-03,567.8409423828125,605.5937512383002,565.8081224623743,603.0769209479199,9290016
2015-02-04,540.736328125,573.068242464955,535.5574411211763,572.1002217851155,10773056
2015-02-05,547.8029174804688,559.9999542155457,540.7363193654795,544.4148451559149,6865785
2015-02-06,545.1409912109375,553.2239420591438,528.2974039873627,549.8358689231736,7706020
2015-02-09,535.8963012695312,551.384634359209,532.4114499576744,537.2515540481988,4334546
